empID,firstName,middleName,lastName,gender,email,dayOfJoining,county,city,state,zip,username
677509,Lois,H,Walker,F,lois.walker@hotmail.com,24-Jan,Denver,Denver,CO,80224,lhwalker
940761,Brenda,S,Robinson,F,brenda.robinson@gmail.com,27-Jan,De Soto,Stonewall,LA,71078,bsrobinson
428945,Joe,W,Robinson,M,joe.robinson@gmail.com,3-Feb,Clinton,Michigantown,IN,46057,jwrobinson
408351,Diane,I,Evans,F,diane.evans@yahoo.com,16-Feb,Crawford,Hydetown,PA,16328,dievans
193819,Benjamin,R,Russell,M,benjamin.russell@charter.net,25-Feb,Waupaca,Fremont,WI,54940,brrussell
499687,Patrick,F,Bailey,M,patrick.bailey@aol.com,22-Feb,Madison,Macksburg,IA,50155,pfbailey
539712,Nancy,T,Baker,F,nancy.baker@bp.com,14-Mar,Fulton,Atlanta,GA,30334,ntbaker
380086,Carol,V,Murphy,F,carol.murphy@gmail.com,28-Mar,Clinton,Blanchester,OH,45107,cvmurphy
477616,Frances,B,Young,F,frances.young@gmail.com,27-Mar,Starr,Delmita,TX,78536,fbyoung
162402,Diana,T,Peterson,F,diana.peterson@hotmail.co.uk,17-Apr,Carroll,Eureka Springs,AR,72632,dtpeterson
231469,Ralph,L,Flores,M,ralph.flores@yahoo.com,14-May,Nemaha,Sabetha,KS,66534,rlflores
153989,Jack,C,Alexander,M,jack.alexander@gmail.com,5-Jun,Clark,Las Vegas,NV,89170,jcalexander
386158,Melissa,Q,King,F,melissa.king@comcast.net,24-Jun,Washington,New Matamoras,OH,45767,mqking
301576,Wayne,G,Watson,M,wayne.watson@gmail.com,19-Jun,Cavalier,Maida,ND,58255,wgwatson
